expt_name,replicationFlag,subjectID,order,age,iswoman,sessionNumber,game,gameLength,uc,m1,m2,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,rt1,rt2,rt3,rt4,rt5,rt6,rt7,rt8,rt9,rt10
RFPC,1,25.000000,0.000000,20.000000,1.000000,54.000000,40.000000,10.000000,1.000000,60.777778,52.571429,49.000000,43.000000,60.000000,60.000000,53.000000,59.000000,71.000000,59.000000,58.000000,61.000000,1.000000,2.000000,1.000000,1.000000,1.000000,2.000000,1.000000,2.000000,1.000000,2.000000,NaN,NaN,NaN,NaN,0.342243,0.342243,0.108317,0.108633,0.057870,0.126206
RFPC,1,25.000000,0.000000,20.000000,1.000000,54.000000,41.000000,10.000000,2.000000,52.625000,61.625000,55.000000,52.000000,65.000000,61.000000,55.000000,60.000000,53.000000,56.000000,45.000000,75.000000,1.000000,2.000000,1.000000,2.000000,1.000000,2.000000,1.000000,2.000000,1.000000,2.000000,NaN,NaN,NaN,NaN,0.183082,0.183082,0.058300,0.092059,0.067680,0.139447
RFPC,1,25.000000,0.000000,20.000000,1.000000,54.000000,42.000000,5.000000,1.000000,34.000000,46.500000,39.000000,39.000000,21.000000,57.000000,37.000000,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000,1.000000,2.000000,1.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.233426,NaN,NaN,NaN,NaN,NaN
RFPC,1,25.000000,0.000000,20.000000,1.000000,54.000000,43.000000,5.000000,3.000000,57.000000,49.750000,52.000000,49.000000,53.000000,44.000000,65.000000,NaN,NaN,NaN,NaN,NaN,2.000000,1.000000,2.000000,2.000000,1.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.165285,NaN,NaN,NaN,NaN,NaN
RFPC,1,25.000000,0.000000,20.000000,1.000000,54.000000,44.000000,10.000000,2.000000,48.000000,59.375000,50.000000,68.000000,57.000000,47.000000,55.000000,42.000000,60.000000,58.000000,48.000000,69.000000,1.000000,2.000000,2.000000,1.000000,2.000000,1.000000,2.000000,1.000000,1.000000,2.000000,NaN,NaN,NaN,NaN,0.175504,0.175504,0.224292,0.424857,0.266508,0.181841
RFPC,1,25.000000,0.000000,20.000000,1.000000,54.000000,45.000000,5.000000,2.000000,63.000000,54.666667,62.000000,69.000000,56.000000,58.000000,58.000000,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000,2.000000,2.000000,1.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.199730,NaN,NaN,NaN,NaN,NaN
RFPC,1,25.000000,0.000000,20.000000,1.000000,54.000000,46.000000,5.000000,1.000000,39.000000,74.000000,73.000000,54.000000,29.000000,41.000000,32.000000,NaN,NaN,NaN,NaN,NaN,2.000000,1.000000,1.000000,1.000000,1.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.297043,NaN,NaN,NaN,NaN,NaN
RFPC,1,25.000000,0.000000,20.000000,1.000000,54.000000,47.000000,10.000000,1.000000,48.000000,47.428571,63.000000,37.000000,45.000000,54.000000,63.000000,35.000000,45.000000,46.000000,52.000000,46.000000,2.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2.000000,1.000000,1.000000,1.000000,NaN,NaN,NaN,NaN,0.342245,0.342245,0.208620,0.142268,0.183401,0.057474
RFPC,1,25.000000,0.000000,20.000000,1.000000,54.000000,48.000000,5.000000,3.000000,50.500000,60.000000,57.000000,48.000000,60.000000,64.000000,68.000000,NaN,NaN,NaN,NaN,NaN,1.000000,2.000000,2.000000,2.000000,2.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.175062,NaN,NaN,NaN,NaN,NaN
RFPC,1,25.000000,0.000000,20.000000,1.000000,54.000000,49.000000,10.000000,1.000000,38.777778,29.000000,37.000000,26.000000,19.000000,54.000000,31.000000,38.000000,17.000000,46.000000,42.000000,33.000000,1.000000,2.000000,1.000000,1.000000,2.000000,1.000000,2.000000,1.000000,1.000000,1.000000,NaN,NaN,NaN,NaN,0.347965,0.347965,0.249618,0.084084,0.141913,0.125336
RFPC,1,25.000000,0.000000,20.000000,1.000000,54.000000,50.000000,5.000000,1.000000,39.750000,18.000000,40.000000,45.000000,16.000000,30.000000,20.000000,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000,2.000000,1.000000,2.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.332339,NaN,NaN,NaN,NaN,NaN
RFPC,1,25.000000,0.000000,20.000000,1.000000,54.000000,51.000000,10.000000,2.000000,40.125000,20.500000,39.000000,15.000000,35.000000,25.000000,42.000000,17.000000,50.000000,19.000000,43.000000,19.000000,1.000000,2.000000,1.000000,2.000000,1.000000,2.000000,1.000000,2.000000,1.000000,2.000000,NaN,NaN,NaN,NaN,0.050373,0.050373,0.107753,0.158091,0.125079,0.190690
RFPC,1,25.000000,0.000000,20.000000,1.000000,54.000000,52.000000,10.000000,2.000000,41.375000,32.375000,31.000000,23.000000,34.000000,47.000000,33.000000,35.000000,33.000000,29.000000,39.000000,46.000000,2.000000,2.000000,1.000000,1.000000,2.000000,1.000000,2.000000,1.000000,2.000000,1.000000,NaN,NaN,NaN,NaN,0.300082,0.300082,0.143269,0.124879,0.225170,0.067071
