subject,age,gender,block,value_option0,value_option1,uncertainty,trial,reward,RT,choice,forced,mask,horizon
1001.0,26,0,37,60,56,0,4,64,0.183516,0,0,0,6
1001.0,26,0,37,60,56,0,5,64,1.217794,0,0,0,6
1001.0,26,0,37,60,56,0,6,48,0.700122,0,0,0,6
1001.0,26,0,37,60,56,0,7,62,0.317127,0,0,0,6
1001.0,26,0,37,60,56,0,8,64,0.200668,0,0,0,6
1001.0,26,0,37,60,56,0,9,60,0.267868,0,0,0,6
1001.0,26,0,38,20,40,0,0,48,-99.0,1,1,1,6
1001.0,26,0,38,20,40,0,1,13,-99.0,0,1,1,6
1001.0,26,0,38,20,40,0,2,16,-99.0,0,1,1,6
1001.0,26,0,38,20,40,0,3,44,-99.0,1,1,1,6
1001.0,26,0,38,20,40,0,4,36,0.183841,1,0,0,6
1001.0,26,0,38,20,40,0,5,24,0.166732,0,0,0,6
1001.0,26,0,38,20,40,0,6,49,0.167124,1,0,0,6
1001.0,26,0,38,20,40,0,7,36,0.233445,1,0,0,6
1001.0,26,0,38,20,40,0,8,29,0.033259,1,0,0,6
1001.0,26,0,38,20,40,0,9,43,0.216806,1,0,0,6
1001.0,26,0,39,40,20,0,0,42,-99.0,0,1,1,6
1001.0,26,0,39,40,20,0,1,30,-99.0,0,1,1,6
1001.0,26,0,39,40,20,0,2,29,-99.0,1,1,1,6
1001.0,26,0,39,40,20,0,3,3,-99.0,1,1,1,6
1001.0,26,0,39,40,20,0,4,36,0.116793,0,0,0,6
1001.0,26,0,39,40,20,0,5,26,0.235349,0,0,0,6
1001.0,26,0,39,40,20,0,6,26,0.167137,1,0,0,6
1001.0,26,0,39,40,20,0,7,43,0.199685,0,0,0,6
1001.0,26,0,39,40,20,0,8,39,0.150339,0,0,0,6
1001.0,26,0,39,40,20,0,9,41,0.166357,0,0,0,6
1001.0,26,0,40,32,40,1,0,34,-99.0,1,1,1,6
1001.0,26,0,40,32,40,1,1,32,-99.0,1,1,1,6
1001.0,26,0,40,32,40,1,2,37,-99.0,0,1,1,6
1001.0,26,0,40,32,40,1,3,47,-99.0,1,1,1,6
1001.0,26,0,40,32,40,1,4,34,0.333856,0,0,0,6
1001.0,26,0,40,32,40,1,5,41,0.234142,1,0,0,6
